Country,X_deg,Y_deg,Pop,ElecPop,GridCellArea,NightLights,IsUrban,GHI,WindVel,TravelHours,Elevation,Slope,LandCover,SubstationDist,CurrentHVLineDist,PlannedHVLineDist,CurrentMVLineDist,PlannedMVLineDist,GridDistCurrent,GridDistPlan,TransformerDist,RoadDist,HydropowerDist,Hydropower,HydropowerFID,NumPeoplePerHH,PerCapitaDemand,AgriDemand,HealthDemand,EducationDemand,CommercialDemand,ElectrificationOrder,Conflict,mean_rwi,productive_multiplier_osm,n_health_combined,n_education_combined,anchor_load_kwh_yr,growth_factor,pop_2030_worldpop,admin1_name,admin2_name
,1.390805,10.107711,46,0,0.001,0,0,1996.5,3.0,0.364,200.0,0.5,5,9.712,4.312,13.16,9.712,13.16,4.312,13.16,9.712,3.394,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.495,0.2,0,0,0.0,1.1044,34,Atakora,Natitingou
,2.167628,7.318539,276,0,0.001,0,0,1764.9,3.0,0.106,200.0,0.5,5,18.791,9.558,20.741,18.791,20.741,9.558,20.741,18.791,9.3,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.615,0.2,0,0,0.0,1.3158,120,Zou,Za-Kpota
,2.401649,7.208339,307,0,0.001,0,0,1749.9,3.0,0.051,200.0,0.5,5,29.042,2.952,40.568,29.042,40.568,2.952,40.568,29.042,1.652,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,0.256,0.2,0,0,0.0,1.3158,218,Zou,Zagnanado
,2.093733,6.445809,173,0,0.001,0,0,1749.9,3.0,0.205,200.0,0.5,5,24.296,14.752,19.486,24.296,19.486,14.752,19.486,24.296,1.18,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.201,0.2,0,0,0.0,2.0,98,Atlantique,Ouidah
,2.411777,8.352242,459,0,0.001,0,0,1800.0,3.0,0.387,200.0,0.5,5,14.239,21.209,110.423,14.239,110.423,14.239,110.423,14.239,0.011,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.503,0.2,0,0,0.0,1.0916,141,Collines,Ouèssè
,2.437194,11.650699,52,0,0.001,0,0,2082.3,3.0,0.546,200.0,0.5,5,39.836,161.663,39.38,39.836,39.38,39.836,39.38,39.836,9.058,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.829,0.2,0,0,0.0,1.053,20,Alibori,Banikoara
,1.768081,6.821299,77,0,0.001,0,0,1756.5,3.0,0.064,200.0,0.5,5,16.524,15.277,0.429,16.524,0.429,15.277,0.429,16.524,1.021,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.201,0.2,0,0,0.0,1.2246,54,Kouffo,Dogbo
,3.536294,10.793406,995,0,0.001,0,0,2042.8,3.0,0.116,200.0,0.5,5,20.301,115.979,72.231,20.301,72.231,20.301,72.231,20.301,4.597,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.217,0.2,0,1,0.0,0.9698,965,Alibori,Ségbana
,1.489143,10.38321,49,0,0.001,0,0,2024.9,3.0,0.364,200.0,0.5,5,19.956,19.968,14.771,19.956,14.771,19.956,14.771,19.956,5.54,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,-0.498,0.2,0,0,0.0,1.1044,34,Atakora,Toucountouna
,1.986114,7.095048,544,0,0.001,0,0,1763.1,3.0,0.062,200.0,0.5,5,10.862,11.31,2.17,10.862,2.17,10.862,2.17,10.862,0.0,99999.0,0.0,0,5.2,0,0,0,0,0,0,0,0.063,0.2,0,0,0.0,1.3158,302,Zou,Agbangnizoun
